,RunId,iteration,Step,width,height,sheep_reproduce,wolf_reproduce,wolf_gain_from_food,grass,grass_regrowth_time,sheep_gain_from_food,initial_sheep,initial_wolves,escapeRange,Wolves,Sheep
228,20,2,80,20,20,0.04,0.05,20,True,30,4,100,50,0.25,0,19
229,20,2,90,20,20,0.04,0.05,20,True,30,4,100,50,0.25,0,26
230,20,2,100,20,20,0.04,0.05,20,True,30,4,100,50,0.25,0,25
231,21,2,0,20,20,0.04,0.05,20,True,30,4,100,100,0.25,100,100
232,21,2,10,20,20,0.04,0.05,20,True,30,4,100,100,0.25,109,32
233,21,2,20,20,20,0.04,0.05,20,True,30,4,100,100,0.25,56,3
234,21,2,30,20,20,0.04,0.05,20,True,30,4,100,100,0.25,25,1
235,21,2,40,20,20,0.04,0.05,20,True,30,4,100,100,0.25,9,1
236,21,2,50,20,20,0.04,0.05,20,True,30,4,100,100,0.25,1,2
237,21,2,60,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,3
238,21,2,70,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,2
239,21,2,80,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,2
240,21,2,90,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,3
241,21,2,100,20,20,0.04,0.05,20,True,30,4,100,100,0.25,0,4
242,22,2,0,20,20,0.04,0.05,20,True,30,4,50,150,0.25,150,50
243,22,2,10,20,20,0.04,0.05,20,True,30,4,50,150,0.25,173,12
244,22,2,20,20,20,0.04,0.05,20,True,30,4,50,150,0.25,75,3
245,22,2,30,20,20,0.04,0.05,20,True,30,4,50,150,0.25,28,2
246,22,2,40,20,20,0.04,0.05,20,True,30,4,50,150,0.25,2,2
247,22,2,50,20,20,0.04,0.05,20,True,30,4,50,150,0.25,0,4
248,22,2,60,20,20,0.04,0.05,20,True,30,4,50,150,0.25,0,5
249,22,2,70,20,20,0.04,0.05,20,True,30,4,50,150,0.25,0,7
250,22,2,80,20,20,0.04,0.05,20,True,30,4,50,150,0.25,0,10
251,22,2,90,20,20,0.04,0.05,20,True,30,4,50,150,0.25,0,12
252,22,2,100,20,20,0.04,0.05,20,True,30,4,50,150,0.25,0,19
253,23,2,0,20,20,0.04,0.05,20,True,30,4,150,100,0.25,100,150
254,23,2,10,20,20,0.04,0.05,20,True,30,4,150,100,0.25,106,27
255,23,2,20,20,20,0.04,0.05,20,True,30,4,150,100,0.25,70,1
256,23,2,30,20,20,0.04,0.05,20,True,30,4,150,100,0.25,26,0
257,23,2,40,20,20,0.04,0.05,20,True,30,4,150,100,0.25,10,0
258,23,2,50,20,20,0.04,0.05,20,True,30,4,150,100,0.25,0,0
259,23,2,60,20,20,0.04,0.05,20,True,30,4,150,100,0.25,0,0
260,23,2,70,20,20,0.04,0.05,20,True,30,4,150,100,0.25,0,0
261,23,2,80,20,20,0.04,0.05,20,True,30,4,150,100,0.25,0,0
262,23,2,90,20,20,0.04,0.05,20,True,30,4,150,100,0.25,0,0
263,23,2,100,20,20,0.04,0.05,20,True,30,4,150,100,0.25,0,0
264,24,2,0,20,20,0.04,0.05,20,True,30,4,150,50,0.25,50,150
265,24,2,10,20,20,0.04,0.05,20,True,30,4,150,50,0.25,60,47
266,24,2,20,20,20,0.04,0.05,20,True,30,4,150,50,0.25,47,10
